post_id,title,category,score,num_comments,author,collected_at
47702791,Show HN: 41 years sea surface temperature anomalies,entertainment,67,21,willmeyers,2026-04-09 14:25:16
47697870,LittleSnitch for Linux,technology,1012,350,pluc,2026-04-09 14:25:16
47700388,Help Keep Thunderbird Alive,technology,275,174,playfultones,2026-04-09 14:25:16
47702541,A WebGPU Implementation of Augmented Vertex Block Descent,technology,19,0,juretriglav,2026-04-09 14:25:16
47701572,"Wit, unker, Git: The lost medieval pronouns of English intimacy",technology,74,37,eigenspace,2026-04-09 14:25:16
47685644,Introduction to Nintendo DS Programming,technology,57,9,medbar,2026-04-09 14:25:16
47703419,Meta removes ads for social media addiction litigation,technology,58,22,giuliomagnifico,2026-04-09 14:25:17
47703123,How Pizza Tycoon simulated traffic on a 25 MHz CPU,technology,65,13,FinnKuhn,2026-04-09 14:25:17
47699181,Open Source Security at Astral,technology,267,63,vinhnx,2026-04-09 14:25:17
47703072,Am I German or Autistic?,technology,135,100,doener,2026-04-09 14:25:17
47701148,FreeBSD Laptop Compatibility: Top Laptops to Use with FreeBSD,technology,53,15,fork-bomber,2026-04-09 14:25:17
47702647,"Launch HN: Relvy (YC F24) – On-call runbooks, automated",technology,12,11,behat,2026-04-09 14:25:17
47658950,Haunted Paper Toys,technology,163,21,exvi,2026-04-09 14:25:17
47624763,Tree Calculus,technology,39,10,tosh,2026-04-09 14:25:17
47663743,"Show HN: Moon simulator game, ray-casting",entertainment,53,12,JKCalhoun,2026-04-09 14:25:17
47661972,Small Engines,technology,14,3,surprisetalk,2026-04-09 14:25:17
47702499,Lichess and Take Take Take Sign Cooperation Agreement,technology,22,1,stevage,2026-04-09 14:25:17
47645010,Dr. Dobb's Developer Library DVD 6,technology,98,36,kristianp,2026-04-09 14:25:17
47701100,Creating the Futurescape for the Fifth Element [2019],technology,68,42,nixass,2026-04-09 14:25:17
47695012,USB for Software Developers: An introduction to writing userspace USB drivers,technology,358,40,WerWolv,2026-04-09 14:25:19
47691730,I ported Mac OS X to the Nintendo Wii,technology,1733,296,blkhp19,2026-04-09 14:25:19
47632157,"Improving storage efficiency in Magic Pocket, Dropbox's immutable blob store",technology,43,5,laluser,2026-04-09 14:25:19
47693153,Understanding the Kalman filter with a simple radar example,technology,387,47,alex_be,2026-04-09 14:25:19
47688678,They're made out of meat (1991),technology,594,160,surprisetalk,2026-04-09 14:25:19
47701233,Claude mixes up who said what and that's not OK,technology,235,224,sixhobbits,2026-04-09 14:25:19
47689648,ML promises to be profoundly weird,technology,554,539,pabs3,2026-04-09 14:25:19
47666639,The Importance of Being Idle,technology,241,141,Caiero,2026-04-09 14:25:19
47687273,Git commands I run before reading any code,technology,2128,456,grepsedawk,2026-04-09 14:25:19
47692043,Muse Spark: Scaling towards personal superintelligence,worldnews,371,350,chabons,2026-04-09 14:25:19
47703217,Apple signs meaningless deal to make some less-important parts in America,technology,22,6,als0,2026-04-09 14:25:19
47700084,"Code Is Cheap Now, and That Changes Everything",technology,47,21,v-mdev,2026-04-09 14:25:19
47678690,Six (and a half) intuitions for KL divergence,technology,99,18,jxmorris12,2026-04-09 14:25:19
47689174,MegaTrain: Full Precision Training of 100B+ Parameter LLMs on a Single GPU,technology,315,56,chrsw,2026-04-09 14:25:19
47648538,I imported the full Linux kernel git history into pgit,technology,149,35,ImGajeed76,2026-04-09 14:25:19
47654062,Ask HN: Any interesting niche hobbies?,technology,429,629,e-topy,2026-04-09 14:25:19
47694983,Expanding Swift's IDE Support,technology,132,59,frizlab,2026-04-09 14:25:19
47656730,Understanding Traceroute,technology,148,22,stonecharioteer,2026-04-09 14:25:19
47660434,C# in Unity 2026: Features Most Developers Still Don't Use,technology,47,45,hacker_13,2026-04-09 14:25:19
47643852,Map Gesture Controls - Control maps with your hands,technology,39,7,hebelehubele,2026-04-09 14:25:19
47702196,"Show HN: CSS Studio. Design by hand, code by agent",technology,63,56,SirHound,2026-04-09 14:25:22
47676561,Teardown of unreleased LG Rollable shows why rollable phones aren't a thing,entertainment,118,51,DamnInteresting,2026-04-09 14:25:22
47645717,Union types in C# 15,technology,217,190,0x00C0FFEE,2026-04-09 14:25:22
47696035,John Deere to pay $99M in right-to-repair settlement,technology,348,116,CharlesW,2026-04-09 14:25:22
47675446,Audio Reactive LED Strips Are Diabolically Hard,technology,234,67,surprisetalk,2026-04-09 14:25:22
47666398,Show HN: A (marginally) useful x86-64 ELF executable in 301 bytes,entertainment,57,17,meribold,2026-04-09 14:25:22
47703619,Betterbird. Simply Better,technology,5,0,antsar,2026-04-09 14:25:22
47685320,Who is Satoshi Nakamoto? My quest to unmask Bitcoin's creator,technology,564,710,jfirebaugh,2026-04-09 14:25:22
47702861,Encrypted Client Hello: How it was blocked in Russia and next steps,technology,11,2,grittygrease,2026-04-09 14:25:22
47689237,US cities are axing Flock Safety surveillance technology,technology,724,410,giuliomagnifico,2026-04-09 14:25:22
47693679,I've been waiting over a month for Anthropic to respond to my billing issue,technology,386,183,nickvec,2026-04-09 14:25:22
47699814,Process Manager for Autonomous AI Agents,technology,53,12,ankitg12,2026-04-09 14:25:22
47686549,Veracrypt project update,technology,1234,480,super256,2026-04-09 14:25:22
47687248,Škoda DuoBell: A bicycle bell that penetrates noise-cancelling headphones,technology,574,572,ra,2026-04-09 14:25:22
47696562,Show HN: Is Hormuz open yet?,entertainment,425,179,anonfunction,2026-04-09 14:25:22
47690977,"Microsoft terminates VeraCrypt account, halting Windows updates",technology,553,219,donohoe,2026-04-09 14:25:22
47659135,Sam Altman may control our future – can he be trusted?,technology,2105,884,adrianhon,2026-04-09 14:25:22
47700662,Today Is CSS Naked Day,technology,5,0,edent,2026-04-09 14:25:22
47694036,Show HN: Orange Juice – Small UX improvements that make HN easier to read,entertainment,123,137,latchkey,2026-04-09 14:25:22
47656518,Your File System Is Already A Graph Database,technology,177,74,alxndr,2026-04-09 14:25:22
47679121,Project Glasswing: Securing critical software for the AI era,technology,1502,810,Ryan5453,2026-04-09 14:25:25
